"year","test","term","Df","SumOfSqs","R2","F","Pr(>F)"
"2021","Lv_plus_stressors","Lv",6,0.120675213696674,0.039345205797112,1.02875802343285,0.429
"2021","Lv_plus_stressors","W",1,0.0408927365439539,0.0133327556309378,2.09166718819962,0.098
"2021","Lv_plus_stressors","N",1,0.0164910438854459,0.00537677535929616,0.8435183924967,0.438
"2021","Lv_plus_stressors","D",1,0.0634809943704343,0.0206974797159932,3.24705862754382,0.039
"2021","Lv_plus_stressors","HM",1,0.0263081163921863,0.00857755475939527,1.34566254282653,0.215
"2021","Lv_plus_stressors","MP",1,0.0225423376646258,0.00734975217688087,1.15304261889476,0.297
"2021","Lv_plus_stressors","S",1,0.0159315631706487,0.00519436106568205,0.814900903121444,0.42
"2021","Lv_plus_stressors","A",1,0.0260954544670965,0.00850821800869433,1.33478486604372,0.246
"2021","Lv_plus_stressors","I",1,0.00357662784275609,0.00116613142187291,0.182944838994889,0.931
"2021","Lv_plus_stressors","AF",1,0.0331516189892039,0.0108088250410418,1.6957083222073,0.171
"2021","Lv_plus_stressors","Residual",138,2.69794242358555,0.879642941023094,NA,NA
"2021","Lv_plus_stressors","Total",153,3.06708813060857,1,NA,NA
"2022","Lv_plus_stressors","Lv",6,2.14694838585612,0.209826425752349,7.2141974966069,0.001
"2022","Lv_plus_stressors","W",1,0.366928890690945,0.0358608423687159,7.39774882925227,0.001
"2022","Lv_plus_stressors","N",1,0.0446092876809008,0.00435977289957496,0.899379454950359,0.463
"2022","Lv_plus_stressors","D",1,0.33321741752919,0.032566139074041,6.71808304811106,0.001
"2022","Lv_plus_stressors","HM",1,0.0428451980683442,0.00418736418190475,0.863813185307725,0.491
"2022","Lv_plus_stressors","MP",1,0.0426412842470625,0.00416743519406185,0.859702025704526,0.503
"2022","Lv_plus_stressors","S",1,0.0804500888645574,0.00786258053948403,1.62197517232924,0.153
"2022","Lv_plus_stressors","A",1,0.110924061805291,0.0108408751565101,2.23636886921276,0.041
"2022","Lv_plus_stressors","I",1,0.159803119316904,0.0156179429236588,3.22183226458779,0.009
"2022","Lv_plus_stressors","AF",1,0.058842987269045,0.0057508665697761,1.18634877553409,0.303
"2022","Lv_plus_stressors","Residual",138,6.84481023674717,0.668959755339923,NA,NA
"2022","Lv_plus_stressors","Total",153,10.2320209580755,1,NA,NA
"2023","Lv_plus_stressors","Lv",6,3.44880311735017,0.292835481461963,12.7751323067392,0.001
"2023","Lv_plus_stressors","W",1,1.17379217602344,0.0996658798157802,26.0879206595641,0.001
"2023","Lv_plus_stressors","N",1,0.101576109239934,0.00862475700763202,2.25756273801035,0.051
"2023","Lv_plus_stressors","D",1,0.286957801393966,0.0243653879537875,6.37773236891914,0.002
"2023","Lv_plus_stressors","HM",1,0.0193959980681457,0.00164690074772513,0.431082494031497,0.789
"2023","Lv_plus_stressors","MP",1,0.255716195823959,0.021712684886247,5.68337731694658,0.002
"2023","Lv_plus_stressors","S",1,0.136454093722334,0.0115862224873355,3.0327375181191,0.028
"2023","Lv_plus_stressors","A",1,0.0453866233130382,0.00385374671663428,1.00873276563092,0.352
"2023","Lv_plus_stressors","I",1,0.0748354710379147,0.0063542279585557,1.66324317953132,0.154
"2023","Lv_plus_stressors","AF",1,0.0252232869075071,0.00214169180271682,0.560595922393782,0.677
"2023","Lv_plus_stressors","Residual",138,6.20913113026701,0.527213019161623,NA,NA
"2023","Lv_plus_stressors","Total",153,11.7772720031474,1,NA,NA
"2024","Lv_plus_stressors","Lv",6,2.81472289821124,0.242142675605486,8.63366890252385,0.001
"2024","Lv_plus_stressors","W",1,0.399806083582467,0.0343941902286481,7.3580103101291,0.001
"2024","Lv_plus_stressors","N",1,0.153251117746189,0.0131837616108414,2.82042557809823,0.044
"2024","Lv_plus_stressors","D",1,0.152509842069937,0.0131199917542338,2.80678317921415,0.047
"2024","Lv_plus_stressors","HM",1,-0.00533936635583432,-0.0004593306347354,-0.0982654199349663,1
"2024","Lv_plus_stressors","MP",1,0.213747375572574,0.0183880841192877,3.93379555191692,0.012
"2024","Lv_plus_stressors","S",1,0.220701527548134,0.0189863302084496,4.06177940217722,0.01
"2024","Lv_plus_stressors","A",1,0.0104388958892603,0.000898028783792162,0.19211689549916,0.944
"2024","Lv_plus_stressors","I",1,0.0709354722194782,0.00610237869222534,1.30549273104579,0.246
"2024","Lv_plus_stressors","AF",1,0.0950680572611136,0.00817843694825193,1.74962756750281,0.143
"2024","Lv_plus_stressors","Residual",138,7.49839116947533,0.64506545268352,NA,NA
"2024","Lv_plus_stressors","Total",153,11.6242330732199,1,NA,NA
"2025","Lv_plus_stressors","Lv",6,2.77352127298379,0.167572646869303,5.31286800980015,0.001
"2025","Lv_plus_stressors","W",1,0.800182188606402,0.04834599562245,9.19681935005011,0.001
"2025","Lv_plus_stressors","N",1,0.203846531108642,0.0123161495481345,2.34289109209691,0.065
"2025","Lv_plus_stressors","D",1,0.149974979412531,0.00906129854100237,1.72372343739207,0.152
"2025","Lv_plus_stressors","HM",1,0.0345709498615023,0.00208873305912868,0.397337987727028,0.83
"2025","Lv_plus_stressors","MP",1,0.13853659175308,0.00837020562793113,1.59225739571095,0.175
"2025","Lv_plus_stressors","S",1,0.266672016186194,0.0161119858836415,3.06496994496891,0.016
"2025","Lv_plus_stressors","A",1,0.0271472433984217,0.00164020210545734,0.312014309918529,0.889
"2025","Lv_plus_stressors","I",1,0.0711791561123034,0.00430055457221355,0.818090991745217,0.482
"2025","Lv_plus_stressors","AF",1,0.0786426994029847,0.0047514924166158,0.903872530416079,0.444
"2025","Lv_plus_stressors","Residual",138,12.0068838828591,0.725440735754122,NA,NA
"2025","Lv_plus_stressors","Total",153,16.551157511685,1,NA,NA
